source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,.@Merck Pharma is a leader in higher &amp; higher drug prices while at the same time taking jobs out of the U.S. Bring jobs back &amp; LOWER PRICES!,08-14-2017 22:09:09,14503,65851,false,897218560937922564
Twitter for iPhone,Now that Ken Frazier of Merck Pharma has resigned from President's Manufacturing Councilhe will have more time to LOWER RIPOFF DRUG PRICES!,08-14-2017 12:54:47,22644,94838,false,897079051277537280
Twitter for iPhone,Billions of dollars in investments &amp; thousands of new jobs in America! An initiative via Corning Merck &amp; Pfizer: https://t.co/QneN48bSiq https://t.co/5VtMfuY3PM,07-21-2017 03:31:45,13909,59311,false,888240051599134721
